sutta,character,id,is_physically_present,mentioned_by_name,has_speaking_role,has_teaching_role,type,aliases
mn1,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn2,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn3,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn3,Sāriputta,sāriputta,TRUE,TRUE,TRUE,TRUE,enlightened monk,
mn4,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn4,Jāṇussoṇi,jāṇussoṇi,TRUE,TRUE,TRUE,FALSE,male lay follower,
mn5,Buddha,buddha,FALSE,TRUE,FALSE,FALSE,buddha,
mn5,Mahāmoggallāna,mahāmoggallāna,TRUE,TRUE,TRUE,FALSE,enlightened monk,Moggallāna
mn5,Paṇḍuputta,paṇḍuputta,FALSE,TRUE,TRUE,FALSE,,
mn5,Samīti,samīti,FALSE,TRUE,FALSE,FALSE,,
mn5,Sāriputta,sāriputta,TRUE,TRUE,TRUE,TRUE,enlightened monk,
mn6,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn7,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn7,Sundarika Bhāradvāja,sundarika,TRUE,TRUE,TRUE,FALSE,,
mn8,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn8,Mahācunda,Cunda2,TRUE,TRUE,TRUE,FALSE,enlightened monk,Cunda
mn9,Buddha,buddha,FALSE,TRUE,FALSE,FALSE,buddha,
mn9,Sāriputta,sāriputta,TRUE,TRUE,TRUE,TRUE,enlightened monk,
mn10,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn11,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn12,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn12,Nāgasamāla,nāgasamāla,TRUE,TRUE,TRUE,FALSE,,
mn12,Sāriputta,sāriputta,TRUE,TRUE,FALSE,FALSE,enlightened monk,
mn12,Sunakkhatta,sunakkhatta,FALSE,TRUE,TRUE,FALSE,,
mn13,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn14,Bimbisāra,bimbisāra,FALSE,TRUE,FALSE,FALSE,,
mn14,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn14,Mahānāma,Mahānāma1,TRUE,TRUE,TRUE,FALSE,,
mn14,Nātaputta,nigaṇṭha-nāṭaputta,FALSE,TRUE,TRUE,FALSE,,
mn15,Mahāmoggallāna,mahāmoggallāna,TRUE,TRUE,TRUE,TRUE,enlightened monk,Moggallāna
mn16,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn17,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn18,Ānanda,ānanda,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn18,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn18,Daṇḍapāṇi,daṇḍapāṇi,TRUE,TRUE,TRUE,FALSE,,
mn18,Mahākaccāna,mahākaccāyana,TRUE,TRUE,TRUE,TRUE,enlightened monk,
mn19,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn19,Māra,māra,FALSE,TRUE,FALSE,FALSE,,
mn20,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn21,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn21,Kāḷī,Kāḷī2,FALSE,TRUE,TRUE,FALSE,,
mn21,Phagguna,,TRUE,TRUE,TRUE,FALSE,,
mn21,Vedehikā,vedehikā,FALSE,TRUE,TRUE,FALSE,,
mn22,Ariṭṭha,Ariṭṭha1,TRUE,TRUE,TRUE,FALSE,,
mn22,Brahmā,,FALSE,TRUE,FALSE,FALSE,,
mn22,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn22,Indra,Inda2,FALSE,TRUE,FALSE,FALSE,,
mn22,Pajāpati,pajāpati,FALSE,TRUE,FALSE,FALSE,,
mn23,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn23,Kassapa the Prince,kumārakassapa,TRUE,TRUE,TRUE,FALSE,,
mn24,Buddha,buddha,TRUE,TRUE,TRUE,FALSE,buddha,
mn24,Pasenadi,pasenadi,FALSE,TRUE,FALSE,FALSE,,
mn24,Puṇṇa Mantāṇiputta,Puṇṇa3,TRUE,TRUE,TRUE,TRUE,,
mn24,Sāriputta,sāriputta,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn25,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn25,Māra,māra,FALSE,TRUE,FALSE,FALSE,,
mn26,Āḷāra Kālāma,āḷārakālāma,FALSE,TRUE,TRUE,FALSE,,Kālāma
mn26,Ānanda,ānanda,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn26,Assaji,Assaji1,FALSE,FALSE,FALSE,FALSE,enlightened monk,
mn26,Bhaddiya,,FALSE,FALSE,FALSE,FALSE,,
mn26,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn26,Koṇḍañña,aññātakoṇḍañña,FALSE,FALSE,FALSE,FALSE,enlightened monk,
mn26,Mahānāma,,FALSE,FALSE,FALSE,FALSE,,
mn26,Māra,māra,FALSE,TRUE,FALSE,FALSE,,
mn26,Rāma,,FALSE,TRUE,FALSE,FALSE,,
mn26,Sahampati,sahampati,FALSE,TRUE,TRUE,FALSE,,
mn26,Uddaka,uddaka,FALSE,TRUE,TRUE,FALSE,,
mn26,Upaka,Upaka1,FALSE,TRUE,TRUE,FALSE,,
mn26,Vappa,Vappa1,FALSE,FALSE,FALSE,FALSE,,
mn27,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn27,Jāṇussoṇi,jāṇussoṇi,TRUE,TRUE,TRUE,FALSE,,
mn27,Pilotika,pilotika,TRUE,TRUE,TRUE,FALSE,,
mn28,Buddha,buddha,FALSE,TRUE,FALSE,FALSE,buddha,
mn28,Sāriputta,sāriputta,TRUE,TRUE,TRUE,TRUE,enlightened monk,
mn29,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn29,Devadatta,devadatta,FALSE,TRUE,FALSE,FALSE,,
mn30,Ajita Kesakambala,ajitakesakambala,FALSE,TRUE,FALSE,FALSE,,
mn30,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn30,Makkhali Gosāla,makkhali,FALSE,TRUE,FALSE,FALSE,,
mn30,Nātaputta,nigaṇṭha-nāṭaputta,FALSE,TRUE,FALSE,FALSE,,
mn30,Pakudha Kaccāyana,pakudha,FALSE,TRUE,FALSE,FALSE,,
mn30,Piṅgalakoccha,piṅgalakoccha,TRUE,TRUE,TRUE,FALSE,,
mn30,Pūraṇa Kassapa,pūraṇa-kassapa,FALSE,TRUE,FALSE,FALSE,,
mn30,Sañjaya Belaṭṭhiputta,Sañjaya3,FALSE,TRUE,FALSE,FALSE,,
mn31,Anuruddha,anuruddha,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn31,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn31,Dīgha Parajana,,TRUE,TRUE,TRUE,FALSE,,
mn31,Kimbila,kimbila,TRUE,TRUE,TRUE,FALSE,,
mn31,Nandiya,Nandiya1,TRUE,TRUE,TRUE,FALSE,,
mn32,Ānanda,ānanda,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn32,Anuruddha,anuruddha,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn32,Buddha,buddha,TRUE,TRUE,TRUE,FALSE,buddha,
mn32,Mahākassapa,mahākassapa,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn32,Mahāmoggallāna,mahāmoggallāna,TRUE,TRUE,TRUE,FALSE,enlightened monk,Moggallāna
mn32,Revata,Revata1,TRUE,TRUE,TRUE,FALSE,,
mn32,Sāriputta,sāriputta,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn33,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn34,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn34,Māra,māra,FALSE,TRUE,FALSE,FALSE,,
mn35,Ajātasattu,ajātasattu,FALSE,TRUE,FALSE,FALSE,,
mn35,Assaji,Assaji1,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn35,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn35,Dummukha,dummukha,TRUE,TRUE,TRUE,FALSE,,
mn35,Pasenadi,pasenadi,FALSE,TRUE,FALSE,FALSE,,
mn35,Saccaka,,TRUE,TRUE,TRUE,FALSE,,
mn35,Vajirapāṇi,vajirapāṇi,TRUE,TRUE,TRUE,FALSE,,
mn36,Āḷāra Kālāma,āḷārakālāma,FALSE,TRUE,TRUE,FALSE,,Kālāma
mn36,Ajita Kesakambala,ajitakesakambala,FALSE,TRUE,FALSE,FALSE,,
mn36,Ānanda,ānanda,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn36,Assaji,Assaji1,FALSE,FALSE,FALSE,FALSE,enlightened monk,
mn36,Bhaddiya,,FALSE,FALSE,FALSE,FALSE,,
mn36,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn36,Kisa Saṅkicca,kisasaṅkicca,FALSE,TRUE,FALSE,FALSE,,
mn36,Koṇḍañña,aññātakoṇḍañña,FALSE,FALSE,FALSE,FALSE,enlightened monk,
mn36,Mahānāma,,FALSE,FALSE,FALSE,FALSE,,
mn36,Makkhali Gosāla,makkhali,FALSE,TRUE,FALSE,FALSE,,
mn36,Nanda Vaccha,,FALSE,TRUE,FALSE,FALSE,,
mn36,Nātaputta,nigaṇṭha-nāṭaputta,FALSE,TRUE,FALSE,FALSE,,
mn36,Pakudha Kaccāyana,pakudha,FALSE,TRUE,FALSE,FALSE,,
mn36,Pūraṇa Kassapa,pūraṇa-kassapa,FALSE,TRUE,FALSE,FALSE,,
mn36,Rāma,,FALSE,TRUE,TRUE,FALSE,,
mn36,Saccaka,,TRUE,TRUE,TRUE,FALSE,,
mn36,Sañjaya Belaṭṭhiputta,Sañjaya3,FALSE,TRUE,FALSE,FALSE,,
mn36,Suddhodana,suddhodana,FALSE,FALSE,FALSE,FALSE,,
mn36,Uddaka,uddaka,FALSE,TRUE,TRUE,FALSE,,
mn36,Vappa,Vappa1,FALSE,FALSE,FALSE,FALSE,,
mn37,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn37,Mahāmoggallāna,mahāmoggallāna,TRUE,TRUE,TRUE,FALSE,enlightened monk,Moggallāna
mn37,Sakka,sakka,TRUE,TRUE,TRUE,FALSE,deva,
mn37,Vessavaṇa,,TRUE,TRUE,FALSE,FALSE,deva,
mn38,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn38,Sāti,sāti,TRUE,TRUE,TRUE,FALSE,,
mn39,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn40,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn41,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn42,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn43,Buddha,buddha,FALSE,TRUE,FALSE,FALSE,buddha,
mn43,Mahākoṭṭhita,mahākoṭṭhita,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn43,Sāriputta,sāriputta,TRUE,TRUE,TRUE,TRUE,enlightened monk,
mn44,Buddha,buddha,TRUE,TRUE,TRUE,FALSE,buddha,
mn44,Dhammadinnā,dhammadinnā,TRUE,TRUE,TRUE,TRUE,,
mn44,Visākha,Visakha1,TRUE,TRUE,TRUE,FALSE,,
mn45,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn46,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn47,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn48,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn49,Baka,baka,TRUE,TRUE,TRUE,FALSE,,
mn49,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn49,Māra,māra,TRUE,TRUE,TRUE,FALSE,,
mn50,Brahmā,,FALSE,TRUE,FALSE,FALSE,,
mn50,Dūsī,dūsī,FALSE,TRUE,TRUE,FALSE,,
mn50,Kāḷī,Kāḷī3,FALSE,TRUE,FALSE,FALSE,,
mn50,Kakusandha,kakusandha,FALSE,TRUE,TRUE,TRUE,,
mn50,Mahāmoggallāna,mahāmoggallāna,TRUE,TRUE,TRUE,FALSE,enlightened monk,Moggallāna
mn50,Māra,māra,TRUE,TRUE,TRUE,FALSE,,
mn50,Sakka,sakka,FALSE,TRUE,FALSE,FALSE,deva,
mn50,Sañjīva,sañjīva,FALSE,TRUE,FALSE,FALSE,,
mn50,Vidhura,vidhura,FALSE,TRUE,FALSE,FALSE,,
mn51,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn51,Kandaraka,kandaraka,TRUE,TRUE,TRUE,FALSE,,
mn51,Pessa,pessa,TRUE,TRUE,TRUE,FALSE,,
mn52,Ānanda,ānanda,TRUE,TRUE,TRUE,TRUE,enlightened monk,
mn52,Dasama,dasama,TRUE,TRUE,TRUE,FALSE,,
mn53,Ānanda,ānanda,TRUE,TRUE,TRUE,TRUE,enlightened monk,
mn53,Buddha,buddha,TRUE,TRUE,TRUE,FALSE,buddha,
mn53,Mahānāma,Mahānāma1,TRUE,TRUE,FALSE,FALSE,,
mn53,Sanaṅkumāra,sanaṅkumāra,FALSE,TRUE,TRUE,FALSE,,
mn54,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn54,Potaliya,potaliya,TRUE,TRUE,TRUE,FALSE,,
mn55,Brahmā,,FALSE,TRUE,FALSE,FALSE,,
mn55,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn55,Jīvaka,jīvaka,TRUE,TRUE,TRUE,FALSE,,
mn56,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn56,Nātaputta,nigaṇṭha-nāṭaputta,TRUE,TRUE,TRUE,FALSE,,
mn56,Rattapāṇi,rattapāṇi,FALSE,TRUE,TRUE,FALSE,,
mn56,Tapassī,dīghatapassī,TRUE,TRUE,TRUE,FALSE,,
mn56,Upāli,Upāli3,TRUE,TRUE,TRUE,TRUE,,
mn57,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn57,Puṇṇa Koliyaputta,Puṇṇa2,TRUE,TRUE,TRUE,FALSE,,
mn57,Seniya,seniya,TRUE,TRUE,TRUE,FALSE,,
mn58,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn58,Devadatta,devadatta,FALSE,TRUE,FALSE,FALSE,,
mn58,Nātaputta,nigaṇṭha-nāṭaputta,TRUE,TRUE,TRUE,FALSE,,
mn58,Prince Abhaya,Abhaya2,TRUE,TRUE,TRUE,FALSE,,
mn59,Ānanda,ānanda,TRUE,TRUE,FALSE,FALSE,enlightened monk,
mn59,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn59,Pañcakaṅga,pañcakaṅga,TRUE,TRUE,TRUE,FALSE,,
mn59,Udāyī,Udāyī1,TRUE,TRUE,TRUE,FALSE,,
mn60,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn61,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn61,Rāhula,rāhula,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn62,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn62,Rāhula,rāhula,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn62,Sāriputta,sāriputta,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn63,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn63,Māluṅkya,māluṅkyāputta,TRUE,TRUE,TRUE,FALSE,,
mn64,Ānanda,ānanda,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn64,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn64,Māluṅkya,māluṅkyāputta,TRUE,TRUE,TRUE,FALSE,,
mn65,Bhaddāli,bhaddāli,TRUE,TRUE,TRUE,FALSE,,
mn65,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn66,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn66,Udāyī,Udāyī1,TRUE,TRUE,TRUE,FALSE,,
mn67,Ānanda,ānanda,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn67,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn67,Mahāmoggallāna,mahāmoggallāna,TRUE,TRUE,TRUE,FALSE,enlightened monk,Moggallāna
mn67,Sahampati,sahampati,TRUE,TRUE,TRUE,FALSE,,
mn67,Sāriputta,sāriputta,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn68,Ānanda,ānanda,TRUE,TRUE,FALSE,FALSE,enlightened monk,
mn68,Anuruddha,anuruddha,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn68,Bhaddiya,,TRUE,TRUE,FALSE,FALSE,,
mn68,Bhagu,,TRUE,TRUE,FALSE,FALSE,,
mn68,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn68,Kimbila,kimbila,TRUE,TRUE,FALSE,FALSE,,
mn68,Koṇḍañña,kuṇḍadhāna,TRUE,TRUE,FALSE,FALSE,enlightened monk,
mn68,Revata,Revata1,TRUE,TRUE,FALSE,FALSE,,
mn69,Buddha,buddha,FALSE,TRUE,FALSE,FALSE,buddha,
mn69,Gulissāni,gulissāni,FALSE,TRUE,FALSE,FALSE,,
mn69,Mahāmoggallāna,mahāmoggallāna,TRUE,TRUE,TRUE,FALSE,enlightened monk,Moggallāna
mn69,Sāriputta,sāriputta,TRUE,TRUE,TRUE,TRUE,enlightened monk,
mn70,Assaji,Assaji2,FALSE,TRUE,FALSE,FALSE,enlightened monk,
mn70,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn70,Punabbasuka,Punabbasu2,FALSE,TRUE,FALSE,FALSE,,
mn71,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn71,Vacchagotta,vacchagotta,TRUE,TRUE,TRUE,FALSE,,
mn72,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn72,Vacchagotta,vacchagotta,TRUE,TRUE,TRUE,FALSE,,
mn73,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn73,Vacchagotta,vacchagotta,TRUE,TRUE,TRUE,FALSE,,
mn74,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn74,Dīghanakha,dīghanakha,TRUE,TRUE,TRUE,FALSE,,
mn74,Sāriputta,sāriputta,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn75,Bhāradvāja,Bhāradvāja5,TRUE,TRUE,TRUE,FALSE,,
mn75,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn75,Māgaṇḍiya,Māgaṇḍiya2,TRUE,TRUE,TRUE,FALSE,,
mn76,Ānanda,ānanda,TRUE,TRUE,TRUE,TRUE,enlightened monk,
mn76,Buddha,buddha,FALSE,TRUE,FALSE,FALSE,buddha,
mn76,Kisa Saṅkicca,kisasaṅkicca,FALSE,TRUE,FALSE,FALSE,,
mn76,Makkhali Gosāla,makkhali,FALSE,TRUE,FALSE,FALSE,,
mn76,Nanda Vaccha,,FALSE,TRUE,FALSE,FALSE,,
mn76,Sandaka,sandaka,TRUE,TRUE,TRUE,FALSE,,
mn77,Ajita Kesakambala,ajitakesakambala,FALSE,TRUE,FALSE,FALSE,,
mn77,Annabhāra,annabhāra,FALSE,TRUE,FALSE,FALSE,,
mn77,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn77,Makkhali Gosāla,makkhali,FALSE,TRUE,FALSE,FALSE,,
mn77,Nātaputta,nigaṇṭha-nāṭaputta,FALSE,TRUE,FALSE,FALSE,,
mn77,Pakudha Kaccāyana,pakudha,FALSE,TRUE,FALSE,FALSE,,
mn77,Pūraṇa Kassapa,pūraṇa-kassapa,FALSE,TRUE,FALSE,FALSE,,
mn77,Sakuludāyī,sakuladāyī,TRUE,TRUE,TRUE,FALSE,,
mn77,Sañjaya Belaṭṭhiputta,Sañjaya3,FALSE,TRUE,FALSE,FALSE,,
mn77,Varadhara,varadhara,FALSE,TRUE,FALSE,FALSE,,
mn78,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn78,Pañcakaṅga,pañcakaṅga,TRUE,TRUE,TRUE,FALSE,,
mn78,Uggāhamāna Samaṇamuṇḍikāputta,uggāhamāna,TRUE,TRUE,TRUE,FALSE,,Uggāhamāna
mn79,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn79,Nātaputta,nigaṇṭha-nāṭaputta,FALSE,TRUE,FALSE,FALSE,,
mn79,Sakuludāyī,sakuladāyī,TRUE,TRUE,TRUE,FALSE,,
mn80,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn80,Vekhanasa,vekhaṇassa,TRUE,TRUE,TRUE,FALSE,,
